id,abbrev,state,capital,admission_date,latitude,longitude,population,pop
1,AL,Alabama,Montgomery,Dec 14 1819,32.380120,-86.300629,205764,4863300
2,AK,Alaska,Juneau,Jan 3 1959,58.299740,-134.406794,31275,741894
3,AZ,Arizona,Phoenix,Feb 14 1912,33.448260,-112.075774,1445632,6931071
4,AR,Arkansas,Little Rock,Jun 15 1836,34.748655,-92.274494,193524,2988248
5,CA,California,Sacramento,Sep 9 1850,38.579065,-121.491014,466488,39250017
6,CO,Colorado,Denver,Aug 1 1876,39.740010,-104.992259,600158,5540545
7,CT,Connecticut,Hartford,Jan 9 1788,41.763325,-72.674069,124775,3576452
8,DE,Delaware,Dover,Dec 7 1787,39.158035,-75.524734,36047,952065
9,FL,Florida,Tallahassee,Mar 3 1845,30.439775,-84.280649,181376,20612439
10,GA,Georgia,Atlanta,Jan 2 1788,33.748315,-84.391109,420003,10310371
11,HI,Hawaii,Honolulu,Aug 21 1959,21.304770,-157.857614,337256,1428557
12,ID,Idaho,Boise,Jul 3 1890,43.606980,-116.193409,205671,1683140
13,IL,Illinois,Springfield,Dec 3 1818,39.801055,-89.643604,116250,12801539
14,IN,Indiana,Indianapolis,Dec 11 1816,39.766910,-86.149964,820445,6633053
15,IA,Iowa,Des Moines,Dec 28 1846,41.589790,-93.615659,203433,3134693
16,KS,Kansas,Topeka,Jan 29 1861,39.049285,-95.671184,127473,2907289
17,KY,Kentucky,Frankfort,Jun 1 1792,38.195070,-84.878694,25527,4436974
18,LA,Louisiana,Baton Rouge,Apr 30 1812,30.443345,-91.186994,229493,4681666
19,ME,Maine,Augusta,Mar 15 1820,44.318036,-69.776218,19136,1331479
20,MD,Maryland,Annapolis,Apr 28 1788,38.976700,-76.489934,38394,6016447
21,MA,Massachusetts,Boston,Feb 6 1788,42.358635,-71.056699,617594,6811779
22,MI,Michigan,Lansing,Jan 26 1837,42.731940,-84.552249,114297,9928300
23,MN,Minnesota,Saint Paul,May 11 1858,44.943829,-93.093326,285068,5519952
24,MS,Mississippi,Jackson,Dec 10 1817,32.298690,-90.180489,173514,2988726
25,MO,Missouri,Jefferson City,Aug 10 1821,38.577515,-92.177839,43079,6093000
26,MT,Montana,Helana,Nov 8 1889,46.589760,-112.021202,28190,1042520
27,NE,Nebraska,Lincoln,Mar 1 1867,40.813620,-96.707739,258379,1907116
28,NV,Nevada,Carson City,Oct 31 1864,39.164885,-119.766999,55274,2940058
29,NH,New Hampshire,Concord,Jun 21 1788,43.207250,-71.536604,42695,1334795
30,NJ,New Jersey,Trenton,Dec 18 1787,40.217875,-74.759404,84913,8944469
31,NM,New Mexico,Santa Fe,Jan 6 1912,35.691543,-105.937406,67947,2081015
32,NY,New York,Albany,Jul 26 1788,42.651445,-73.755254,97856,19745289
33,NC,North Carolina,Raleigh,Nov 21 1789,35.785510,-78.642669,403892,10146788
34,ND,North Dakota,Bismarck,Nov 2 1889,46.805372,-100.779334,61272,757952
35,OH,Ohio,Columbus,Mar 1 1803,39.961960,-83.002984,787033,11614373
36,OK,Oklahoma,Oklahoma City,Nov 16 1907,35.472015,-97.520354,579999,3923561
37,OR,Oregon,Salem,Feb 14 1859,44.933260,-123.043814,154637,4093465
38,PA,Pennsylvania,Harrisburg,Dec 12 1787,40.259865,-76.882230,49528,12784227
39,RI,Rhode Island,Providence,May 29 1790,41.823875,-71.411994,178042,1056426
40,SC,South Carolina,Columbia,May 23 1788,33.998550,-81.045249,129272,4961119
41,SD,South Dakota,Pierre,Nov 2 1889,44.368924,-100.350158,13646,865454
42,TN,Tennessee,Nashville,Jun 1 1796,36.167783,-86.778365,601222,6651194
43,TX,Texas,Austin,Dec 29 1845,30.267605,-97.742984,790390,27862596
44,UT,Utah,Salt Lake City,Jan 4 1896,40.759505,-111.888229,186440,3051217
45,VT,Vermont,Montpelier,Mar 4 1791,44.260299,-72.576264,7855,624594
46,VA,Virginia,Richmond,Jun 25 1788,37.540700,-77.433654,204214,8411808
47,WA,Washington,Olympia,Nov 11 1889,47.039231,-122.891366,46478,7288000
48,WV,West Virginia,Charleston,Jun 20 1863,38.350195,-81.638989,51400,1831102
49,WI,Wisconsin,Madison,May 29 1848,43.072950,-89.386694,233209,5778708
50,WY,Wyoming,Cheyenne,Jul 10 1890,41.134815,-104.821544,59466,585501
